X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,impact_score,priority_rank
7,5,aug,tue,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82,0.9592899181006473,1
6,5,dec,tue,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,24.77,0.9101239415319289,2
8,6,dec,wed,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0,11.19,0.8660582330667417,3
4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,17.85,0.8521457913285151,4
4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,22.03,0.8521457913285151,5
4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,9.77,0.8521457913285151,6
4,6,dec,sun,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,8.98,0.8425202529705532,7
3,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,10.73,0.8417517756721677,8
7,4,sep,sun,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,11.06,0.7825703670890268,9
8,6,jul,sun,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,6.3,0.7172171540585586,10
4,5,sep,sun,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,0.0,0.713815994706825,11
8,6,aug,sun,94.9,130.3,587.1,14.1,31.0,27,5.4,0.0,0.0,0.6990754355361997,12
1,4,sep,sun,91.0,276.3,825.1,7.1,14.5,76,7.6,0.0,3.71,0.6803021676212595,13
7,4,feb,fri,84.6,3.2,43.6,3.3,8.2,53,9.4,0.0,4.62,0.6767315880575828,14
1,3,sep,sun,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,70.76,0.6740287533022997,15
6,5,sep,sat,87.1,291.3,860.6,4.0,17.0,67,4.9,0.0,3.95,0.6717103011304494,16
6,3,nov,tue,79.5,3.0,106.7,1.1,11.8,31,4.5,0.0,0.0,0.6697803545599151,17
1,3,sep,sun,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33,0.6684673144328658,18
8,6,aug,sat,93.7,231.1,715.1,8.4,26.9,31,3.6,0.0,4.96,0.6639812422984317,19
7,4,sep,thu,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0,0.0,0.663449110333625,20
6,3,sep,sat,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0,0.6512884223250642,21
8,4,aug,sat,91.6,273.8,819.1,7.7,21.3,44,4.5,0.0,12.18,0.6496968288219211,22
7,5,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,0.6488455230776489,23
8,8,aug,wed,91.7,191.4,635.9,7.8,26.2,36,4.5,0.0,185.76,0.6487358418454414,24
4,6,sep,sun,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1,0.6456633602688934,25
